"cr4f8_heiti","cr4f8_id"
"Veit ekki/Getur ekki svarað/hef ekki nægar upplýsingar til að meta.","5"
"Mjög mikil eða algjör færniskerðing: Skert færni er mikil og viðvarandi, kemur í veg fyrir að einstaklingur geti sinnt daglegu lífi.","4"
"Mikil færniskerðing: Skert færni er viðvarandi eða mjög algeng og getur valdið alvarlegri truflun á daglegu lífi.","3"
"Væg færniskerðing: Skert færni kemur stundum fram við vissar aðstæður, án þess þó að hafa veruleg áhrif á daglegt líf.","1"
"Nokkur færniskerðing: Skert færni kemur oft eða nokkuð oft fram, en veldur ekki alvarlegri truflun í daglegu lífi.","2"
"Engin eða óveruleg færniskerðing: Yfirleitt engin skerðing á færni vegna þessa þáttar, full geta.","0"
