"cr4f8_heiti","cr4f8_id"
"Get ekki metið / veit ekki","5"
"Mjög góð framvinda / náði öllum markmiðum","4"
"Mikil framvinda / mikil breyting","3"
"Miðlungs framvinda / nokkur breyting","2"
"Lítil framvinda / lítil breyting","1"
"Engin framvinda, gekk illa","0"
